Date,usa,gbr,jpn,chn,can
1872-06-11,0.0709640467245762,0.178284970686648,,,
1872-06-12,0.0710084556134496,0.178219382060816,,,
1872-06-13,0.0710528231635283,0.17815546085929,,,
1872-06-14,0.0710975088091474,0.178096904381491,,,
1872-06-17,0.0711421531422031,0.178040017308814,,,
1872-06-18,0.071187201959417,0.177983641388989,,,
1872-06-19,0.0908993832633362,0.156487180832953,,,
1872-06-20,0.0909403153508783,0.156428219727857,,,
1872-06-21,0.0909820252784308,0.156374149593047,,,
1872-06-24,0.0910241469079335,0.156321333296024,,,
1872-06-25,0.0910671341948852,0.156268632968452,,,
1872-06-26,0.0911105332834647,0.156217187393319,,,
1872-06-27,0.0911543442185642,0.156166997050968,,,
1872-06-28,0.0911989334501073,0.15612171035325,,,
1872-07-01,0.0833188259275632,0.156077090215027,,,
